code,name,cause_group,death_circumstance,coronial_investigation_risk,registration_complexity
F19.4,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Withdrawal state with delirium,Other chronic medical conditions,Expected medically managed,Low,Standard
F19.5,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Psychotic disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F19.6,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Amnesic syndrome,Other chronic medical conditions,Expected medically managed,Low,Standard
F19.7,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Residual and late-onset psychotic disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F19.8,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Other mental and behavioural disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F19.9,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Unspecified mental and behavioural disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F20,Schizophrenia,Other chronic medical conditions,Expected medically managed,Low,Standard
F20.0,Paranoid schizophrenia,Other chronic medical conditions,Expected medically managed,Low,Standard
F20.1,Hebephrenic schizophrenia,Other chronic medical conditions,Expected medically managed,Low,Standard
F20.2,Catatonic schizophrenia,Other chronic medical conditions,Expected medically managed,Low,Standard
F20.3,Undifferentiated schizophrenia,Other chronic medical conditions,Expected medically managed,Low,Standard
F20.4,Post-schizophrenic depression,Other chronic medical conditions,Expected medically managed,Low,Standard
F20.5,Residual schizophrenia,Other chronic medical conditions,Expected medically managed,Low,Standard
F20.6,Simple schizophrenia,Other chronic medical conditions,Expected medically managed,Low,Standard
F20.8,Other schizophrenia,Other chronic medical conditions,Expected medically managed,Low,Standard
F20.9,"Schizophrenia, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F21,Schizotypal disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F22,Persistent delusional disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F22.0,Delusional disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F22.8,Other persistent delusional disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F22.9,"Persistent delusional disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F23,Acute and transient psychotic disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F23.0,Acute polymorphic psychotic disorder without symptoms of schizophrenia,Other chronic medical conditions,Expected medically managed,Low,Standard
F23.1,Acute polymorphic psychotic disorder with symptoms of schizophrenia,Other chronic medical conditions,Expected medically managed,Low,Standard
F23.2,Acute schizophrenia-like psychotic disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F23.3,Other acute predominantly delusional psychotic disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F23.8,Other acute and transient psychotic disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F23.9,"Acute and transient psychotic disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F24,Induced delusional disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F25,Schizoaffective disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F25.0,"Schizoaffective disorder, manic type",Other chronic medical conditions,Expected medically managed,Low,Standard
F25.1,"Schizoaffective disorder, depressive type",Other chronic medical conditions,Expected medically managed,Low,Standard
F25.2,"Schizoaffective disorder, mixed type",Other chronic medical conditions,Expected medically managed,Low,Standard
F25.8,Other schizoaffective disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F25.9,"Schizoaffective disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F28,Other nonorganic psychotic disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F29,Unspecified nonorganic psychosis,Other chronic medical conditions,Expected medically managed,Low,Standard
F30,Manic episode,Other chronic medical conditions,Expected medically managed,Low,Standard
F30.0,Hypomania,Other chronic medical conditions,Expected medically managed,Low,Standard
F30.1,Mania without psychotic symptoms,Other chronic medical conditions,Expected medically managed,Low,Standard
F30.2,Mania with psychotic symptoms,Other chronic medical conditions,Expected medically managed,Low,Standard
F30.8,Other manic episodes,Other chronic medical conditions,Expected medically managed,Low,Standard
F30.9,"Manic episode, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F31,Bipolar affective disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F31.0,"Bipolar affective disorder, current episode hypomanic",Other chronic medical conditions,Expected medically managed,Low,Standard
F31.1,"Bipolar affective disorder, current episode manic without psychotic symptoms",Other chronic medical conditions,Expected medically managed,Low,Standard
F31.2,"Bipolar affective disorder, current episode manic with psychotic symptoms",Other chronic medical conditions,Expected medically managed,Low,Standard
F31.3,"Bipolar affective disorder, current episode mild or moderate depression",Other chronic medical conditions,Expected medically managed,Low,Standard
F31.4,"Bipolar affective disorder, current episode severe depression without psychotic symptoms",Other chronic medical conditions,Expected medically managed,Low,Standard
F31.5,"Bipolar affective disorder, current episode severe depression with psychotic symptoms",Other chronic medical conditions,Expected medically managed,Low,Standard
F31.6,"Bipolar affective disorder, current episode mixed",Other chronic medical conditions,Expected medically managed,Low,Standard
F31.7,"Bipolar affective disorder, currently in remission",Other chronic medical conditions,Expected medically managed,Low,Standard
F31.8,Other bipolar affective disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F31.9,"Bipolar affective disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F32,Depressive episode,Other chronic medical conditions,Expected medically managed,Low,Standard
F32.0,Mild depressive episode,Other chronic medical conditions,Expected medically managed,Low,Standard
F32.1,Moderate depressive episode,Other chronic medical conditions,Expected medically managed,Low,Standard
F32.2,Severe depressive episode without psychotic symptoms,Other chronic medical conditions,Expected medically managed,Low,Standard
F32.3,Severe depressive episode with psychotic symptoms,Other chronic medical conditions,Expected medically managed,Low,Standard
F32.8,Other depressive episodes,Other chronic medical conditions,Expected medically managed,Low,Standard
F32.9,"Depressive episode, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F33,Recurrent depressive disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F33.0,"Recurrent depressive disorder, current episode mild",Other chronic medical conditions,Expected medically managed,Low,Standard
F33.1,"Recurrent depressive disorder, current episode moderate",Other chronic medical conditions,Expected medically managed,Low,Standard
F33.2,"Recurrent depressive disorder, current episode severe without psychotic symptoms",Other chronic medical conditions,Expected medically managed,Low,Standard
F33.3,"Recurrent depressive disorder, current episode severe with psychotic symptoms",Other chronic medical conditions,Expected medically managed,Low,Standard
F33.4,"Recurrent depressive disorder, currently in remission",Other chronic medical conditions,Expected medically managed,Low,Standard
F33.8,Other recurrent depressive disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F33.9,"Recurrent depressive disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F34,Persistent mood [affective] disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F34.0,Cyclothymia,Other chronic medical conditions,Expected medically managed,Low,Standard
F34.1,Dysthymia,Other chronic medical conditions,Expected medically managed,Low,Standard
F34.8,Other persistent mood [affective] disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F34.9,"Persistent mood [affective] disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F38,Other mood [affective] disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F38.0,Other single mood [affective] disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F38.1,Other recurrent mood [affective] disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F38.8,Other specified mood [affective] disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F39,Unspecified mood [affective] disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F40,Phobic anxiety disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F40.0,Agoraphobia,Other chronic medical conditions,Expected medically managed,Low,Standard
F40.1,Social phobias,Other chronic medical conditions,Expected medically managed,Low,Standard
F40.2,Specific (isolated) phobias,Other chronic medical conditions,Expected medically managed,Low,Standard
F40.8,Other phobic anxiety disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F40.9,"Phobic anxiety disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F41,Other anxiety disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F41.0,Panic disorder [episodic paroxysmal anxiety],Other chronic medical conditions,Expected medically managed,Low,Standard
F41.1,Generalized anxiety disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F41.2,Mixed anxiety and depressive disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F41.3,Other mixed anxiety disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F41.8,Other specified anxiety disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F41.9,"Anxiety disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F42,Obsessive-compulsive disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F42.0,Predominantly obsessional thoughts or ruminations,Other chronic medical conditions,Expected medically managed,Low,Standard
F42.1,Predominantly compulsive acts [obsessional rituals],Other chronic medical conditions,Expected medically managed,Low,Standard
F42.2,Mixed obsessional thoughts and acts,Other chronic medical conditions,Expected medically managed,Low,Standard
F42.8,Other obsessive-compulsive disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F42.9,"Obsessive-compulsive disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F43,"Reaction to severe stress, and adjustment disorders",Other chronic medical conditions,Expected medically managed,Low,Standard
F43.0,Acute stress reaction,Other chronic medical conditions,Expected medically managed,Low,Standard
F43.1,Post-traumatic stress disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F43.2,Adjustment disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F43.8,Other reactions to severe stress,Other chronic medical conditions,Expected medically managed,Low,Standard
F43.9,"Reaction to severe stress, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F44,Dissociative [conversion] disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F44.0,Dissociative amnesia,Other chronic medical conditions,Expected medically managed,Low,Standard
F44.1,Dissociative fugue,Other chronic medical conditions,Expected medically managed,Low,Standard
F44.2,Dissociative stupor,Other chronic medical conditions,Expected medically managed,Low,Standard
F44.3,Trance and possession disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F44.4,Dissociative motor disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F44.5,Dissociative convulsions,Other chronic medical conditions,Expected medically managed,Low,Standard
F44.6,Dissociative anaesthesia and sensory loss,Other chronic medical conditions,Expected medically managed,Low,Standard
F44.7,Mixed dissociative [conversion] disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F44.8,Other dissociative [conversion] disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F44.9,"Dissociative [conversion] disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F45,Somatoform disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F45.0,Somatization disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F45.1,Undifferentiated somatoform disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F45.2,Hypochondriacal disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F45.3,Somatoform autonomic dysfunction,Other chronic medical conditions,Expected medically managed,Low,Standard
F45.4,Persistent somatoform pain disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F45.8,Other somatoform disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F45.9,"Somatoform disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F48,Other neurotic disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F48.0,Neurasthenia,Other chronic medical conditions,Expected medically managed,Low,Standard
F48.1,Depersonalization-derealization syndrome,Other chronic medical conditions,Expected medically managed,Low,Standard
F48.8,Other specified neurotic disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F48.9,"Neurotic disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F50,Eating disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F50.0,Anorexia nervosa,Other chronic medical conditions,Expected medically managed,Low,Standard
F50.1,Atypical anorexia nervosa,Other chronic medical conditions,Expected medically managed,Low,Standard
F50.2,Bulimia nervosa,Other chronic medical conditions,Expected medically managed,Low,Standard
F50.3,Atypical bulimia nervosa,Other chronic medical conditions,Expected medically managed,Low,Standard
F50.4,Overeating associated with other psychological disturbances,Other chronic medical conditions,Expected medically managed,Low,Standard
F50.5,Vomiting associated with other psychological disturbances,Other chronic medical conditions,Expected medically managed,Low,Standard
F50.8,Other eating disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F50.9,"Eating disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F51,Nonorganic sleep disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F51.0,Nonorganic insomnia,Other chronic medical conditions,Expected medically managed,Low,Standard
F51.1,Nonorganic hypersomnia,Other chronic medical conditions,Expected medically managed,Low,Standard
F51.2,Nonorganic disorder of the sleep-wake schedule,Other chronic medical conditions,Expected medically managed,Low,Standard
F51.3,Sleepwalking [somnambulism],Other chronic medical conditions,Expected medically managed,Low,Standard
F51.4,Sleep terrors [night terrors],Other chronic medical conditions,Expected medically managed,Low,Standard
F51.5,Nightmares,Other chronic medical conditions,Expected medically managed,Low,Standard
F51.8,Other nonorganic sleep disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F51.9,"Nonorganic sleep disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F52,"Sexual dysfunction, not caused by organic disorder or disease",Other chronic medical conditions,Expected medically managed,Low,Standard
F52.0,Lack or loss of sexual desire,Other chronic medical conditions,Expected medically managed,Low,Standard
F52.1,Sexual aversion and lack of sexual enjoyment,Other chronic medical conditions,Expected medically managed,Low,Standard
F52.2,Failure of genital response,Other chronic medical conditions,Expected medically managed,Low,Standard
F52.3,Orgasmic dysfunction,Other chronic medical conditions,Expected medically managed,Low,Standard
F52.4,Premature ejaculation,Other chronic medical conditions,Expected medically managed,Low,Standard
F52.5,Nonorganic vaginismus,Other chronic medical conditions,Expected medically managed,Low,Standard
F52.6,Nonorganic dyspareunia,Other chronic medical conditions,Expected medically managed,Low,Standard
F52.7,Excessive sexual drive,Other chronic medical conditions,Expected medically managed,Low,Standard
F52.8,"Other sexual dysfunction, not caused by organic disorder or disease",Other chronic medical conditions,Expected medically managed,Low,Standard
F52.9,"Unspecified sexual dysfunction, not caused by organic disorder or disease",Other chronic medical conditions,Expected medically managed,Low,Standard
F53,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified",Other chronic medical conditions,Expected medically managed,Low,Standard
F53.0,"Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified",Other chronic medical conditions,Expected medically managed,Low,Standard
F53.1,"Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified",Other chronic medical conditions,Expected medically managed,Low,Standard
F53.8,"Other mental and behavioural disorders associated with the puerperium, not elsewhere classified",Other chronic medical conditions,Expected medically managed,Low,Standard
F53.9,"Puerperal mental disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F54,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,Other chronic medical conditions,Expected medically managed,Low,Standard
F55,Abuse of non-dependence-producing substances,Other chronic medical conditions,Expected medically managed,Low,Standard
F59,Unspecified behavioural syndromes associated with physiological disturbances and physical factors,Other chronic medical conditions,Expected medically managed,Low,Standard
F60,Specific personality disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F60.0,Paranoid personality disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F60.1,Schizoid personality disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F60.2,Dissocial personality disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F60.3,Emotionally unstable personality disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F60.4,Histrionic personality disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F60.5,Anankastic personality disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F60.6,Anxious [avoidant] personality disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F60.7,Dependent personality disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F60.8,Other specific personality disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F60.9,"Personality disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F61,Mixed and other personality disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F62,"Enduring personality changes, not attributable to brain damage and disease",Other chronic medical conditions,Expected medically managed,Low,Standard
F62.0,Enduring personality change after catastrophic experience,Other chronic medical conditions,Expected medically managed,Low,Standard
F62.1,Enduring personality change after psychiatric illness,Other chronic medical conditions,Expected medically managed,Low,Standard
F62.8,Other enduring personality changes,Other chronic medical conditions,Expected medically managed,Low,Standard
F62.9,"Enduring personality change, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F63,Habit and impulse disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F63.0,Pathological gambling,Other chronic medical conditions,Expected medically managed,Low,Standard
F63.1,Pathological fire-setting [pyromania],Other chronic medical conditions,Expected medically managed,Low,Standard
F63.2,Pathological stealing [kleptomania],Other chronic medical conditions,Expected medically managed,Low,Standard
F63.3,Trichotillomania,Other chronic medical conditions,Expected medically managed,Low,Standard
F63.8,Other habit and impulse disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F63.9,"Habit and impulse disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F64,Gender identity disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F64.0,Transsexualism,Other chronic medical conditions,Expected medically managed,Low,Standard
F64.1,Dual-role transvestism,Other chronic medical conditions,Expected medically managed,Low,Standard
F64.2,Gender identity disorder of childhood,Other chronic medical conditions,Expected medically managed,Low,Standard
F64.8,Other gender identity disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F64.9,"Gender identity disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F65,Disorders of sexual preference,Other chronic medical conditions,Expected medically managed,Low,Standard
F65.0,Fetishism,Other chronic medical conditions,Expected medically managed,Low,Standard
F65.1,Fetishistic transvestism,Other chronic medical conditions,Expected medically managed,Low,Standard
F65.2,Exhibitionism,Other chronic medical conditions,Expected medically managed,Low,Standard
F65.3,Voyeurism,Other chronic medical conditions,Expected medically managed,Low,Standard
F65.4,Paedophilia,Other chronic medical conditions,Expected medically managed,Low,Standard
F65.5,Sadomasochism,Other chronic medical conditions,Expected medically managed,Low,Standard
F65.6,Multiple disorders of sexual preference,Other chronic medical conditions,Expected medically managed,Low,Standard
F65.8,Other disorders of sexual preference,Other chronic medical conditions,Expected medically managed,Low,Standard
F65.9,"Disorder of sexual preference, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F66,Psychological and behavioural disorders associated with sexual development and orientation,Other chronic medical conditions,Expected medically managed,Low,Standard
F66.0,Sexual maturation disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F66.1,Egodystonic sexual orientation,Other chronic medical conditions,Expected medically managed,Low,Standard
F66.2,Sexual relationship disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F66.8,Other psychosexual development disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F66.9,"Psychosexual development disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F68,Other disorders of adult personality and behaviour,Other chronic medical conditions,Expected medically managed,Low,Standard
F68.0,Elaboration of physical symptoms for psychological reasons,Other chronic medical conditions,Expected medically managed,Low,Standard
F68.1,"Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder]",Other chronic medical conditions,Expected medically managed,Low,Standard
F68.8,Other specified disorders of adult personality and behaviour,Other chronic medical conditions,Expected medically managed,Low,Standard
F69,Unspecified disorder of adult personality and behaviour,Other chronic medical conditions,Expected medically managed,Low,Standard
F70,Mild mental retardation,Other chronic medical conditions,Expected medically managed,Low,Standard
F70.0,"Mild mental retardation: With the statement of no, or minimal, impairment of behaviour",Other chronic medical conditions,Expected medically managed,Low,Standard
F70.1,Mild mental retardation: Significant impairment of behaviour requiring attention or treatment,Other chronic medical conditions,Expected medically managed,Low,Standard
F70.8,Mild mental retardation: Other impairments of behaviour,Other chronic medical conditions,Expected medically managed,Low,Standard
F70.9,Mild mental retardation: Without mention of impairment of behaviour,Other chronic medical conditions,Expected medically managed,Low,Standard
F71,Moderate mental retardation,Other chronic medical conditions,Expected medically managed,Low,Standard
F71.0,"Moderate mental retardation: With the statement of no, or minimal, impairment of behaviour",Other chronic medical conditions,Expected medically managed,Low,Standard
F71.1,Moderate mental retardation: Significant impairment of behaviour requiring attention or treatment,Other chronic medical conditions,Expected medically managed,Low,Standard
F71.8,Moderate mental retardation: Other impairments of behaviour,Other chronic medical conditions,Expected medically managed,Low,Standard
F71.9,Moderate mental retardation: Without mention of impairment of behaviour,Other chronic medical conditions,Expected medically managed,Low,Standard
F72,Severe mental retardation,Other chronic medical conditions,Expected medically managed,Low,Standard
F72.0,"Severe mental retardation: With the statement of no, or minimal, impairment of behaviour",Other chronic medical conditions,Expected medically managed,Low,Standard
F72.1,Severe mental retardation: Significant impairment of behaviour requiring attention or treatment,Other chronic medical conditions,Expected medically managed,Low,Standard
F72.8,Severe mental retardation: Other impairments of behaviour,Other chronic medical conditions,Expected medically managed,Low,Standard
F72.9,Severe mental retardation: Without mention of impairment of behaviour,Other chronic medical conditions,Expected medically managed,Low,Standard
F73,Profound mental retardation,Other chronic medical conditions,Expected medically managed,Low,Standard
F73.0,"Profound mental retardation: With the statement of no, or minimal, impairment of behaviour",Other chronic medical conditions,Expected medically managed,Low,Standard
F73.1,Profound mental retardation: Significant impairment of behaviour requiring attention or treatment,Other chronic medical conditions,Expected medically managed,Low,Standard
F73.8,Profound mental retardation: Other impairments of behaviour,Other chronic medical conditions,Expected medically managed,Low,Standard
F73.9,Profound mental retardation: Without mention of impairment of behaviour,Other chronic medical conditions,Expected medically managed,Low,Standard
F78,Other mental retardation,Other chronic medical conditions,Expected medically managed,Low,Standard
F78.0,"Other mental retardation: With the statement of no, or minimal, impairment of behaviour",Other chronic medical conditions,Expected medically managed,Low,Standard
F78.1,Other mental retardation: Significant impairment of behaviour requiring attention or treatment,Other chronic medical conditions,Expected medically managed,Low,Standard
F78.8,Other mental retardation: Other impairments of behaviour,Other chronic medical conditions,Expected medically managed,Low,Standard
F78.9,Other mental retardation: Without mention of impairment of behaviour,Other chronic medical conditions,Expected medically managed,Low,Standard
F79,Unspecified mental retardation,Other chronic medical conditions,Expected medically managed,Low,Standard
F79.0,"Unspecified mental retardation: With the statement of no, or minimal, impairment of behaviour",Other chronic medical conditions,Expected medically managed,Low,Standard
F79.1,Unspecified mental retardation: Significant impairment of behaviour requiring attention or treatment,Other chronic medical conditions,Expected medically managed,Low,Standard
F79.8,Unspecified mental retardation: Other impairments of behaviour,Other chronic medical conditions,Expected medically managed,Low,Standard
F79.9,Unspecified mental retardation: Without mention of impairment of behaviour,Other chronic medical conditions,Expected medically managed,Low,Standard
F80,Specific developmental disorders of speech and language,Other chronic medical conditions,Expected medically managed,Low,Standard
F80.0,Specific speech articulation disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F80.1,Expressive language disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F80.2,Receptive language disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F80.3,Acquired aphasia with epilepsy [Landau-Kleffner],Other chronic medical conditions,Expected medically managed,Low,Standard
F80.8,Other developmental disorders of speech and language,Other chronic medical conditions,Expected medically managed,Low,Standard
F80.9,"Developmental disorder of speech and language, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F81,Specific developmental disorders of scholastic skills,Other chronic medical conditions,Expected medically managed,Low,Standard
F81.0,Specific reading disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F81.1,Specific spelling disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F81.2,Specific disorder of arithmetical skills,Other chronic medical conditions,Expected medically managed,Low,Standard
F81.3,Mixed disorder of scholastic skills,Other chronic medical conditions,Expected medically managed,Low,Standard
F81.8,Other developmental disorders of scholastic skills,Other chronic medical conditions,Expected medically managed,Low,Standard
F81.9,"Developmental disorder of scholastic skills, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F82,Specific developmental disorder of motor function,Other chronic medical conditions,Expected medically managed,Low,Standard
F83,Mixed specific developmental disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F84,Pervasive developmental disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F84.0,Childhood autism,Other chronic medical conditions,Expected medically managed,Low,Standard
F84.1,Atypical autism,Other chronic medical conditions,Expected medically managed,Low,Standard
F84.2,Rett syndrome,Other chronic medical conditions,Expected medically managed,Low,Standard
F84.3,Other childhood disintegrative disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F84.4,Overactive disorder associated with mental retardation and stereotyped movements,Other chronic medical conditions,Expected medically managed,Low,Standard
F84.5,Asperger syndrome,Other chronic medical conditions,Expected medically managed,Low,Standard
F84.8,Other pervasive developmental disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F84.9,"Pervasive developmental disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F88,Other disorders of psychological development,Other chronic medical conditions,Expected medically managed,Low,Standard
F89,Unspecified disorder of psychological development,Other chronic medical conditions,Expected medically managed,Low,Standard
F90,Hyperkinetic disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F90.0,Disturbance of activity and attention,Other chronic medical conditions,Expected medically managed,Low,Standard
F90.1,Hyperkinetic conduct disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F90.8,Other hyperkinetic disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F90.9,"Hyperkinetic disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F91,Conduct disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F91.0,Conduct disorder confined to the family context,Other chronic medical conditions,Expected medically managed,Low,Standard
F91.1,Unsocialized conduct disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F91.2,Socialized conduct disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F91.3,Oppositional defiant disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F91.8,Other conduct disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F91.9,"Conduct disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F92,Mixed disorders of conduct and emotions,Other chronic medical conditions,Expected medically managed,Low,Standard
F92.0,Depressive conduct disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F92.8,Other mixed disorders of conduct and emotions,Other chronic medical conditions,Expected medically managed,Low,Standard
F92.9,"Mixed disorder of conduct and emotions, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F93,Emotional disorders with onset specific to childhood,Other chronic medical conditions,Expected medically managed,Low,Standard
F93.0,Separation anxiety disorder of childhood,Other chronic medical conditions,Expected medically managed,Low,Standard
F93.1,Phobic anxiety disorder of childhood,Other chronic medical conditions,Expected medically managed,Low,Standard
F93.2,Social anxiety disorder of childhood,Other chronic medical conditions,Expected medically managed,Low,Standard
F93.3,Sibling rivalry disorder,Other chronic medical conditions,Expected medically managed,Low,Standard
F93.8,Other childhood emotional disorders,Other chronic medical conditions,Expected medically managed,Low,Standard
F93.9,"Childhood emotional disorder, unspecified",Other chronic medical conditions,Expected medically managed,Low,Standard
F94,Disorders of social functioning with onset specific to childhood and adolescence,Other chronic medical conditions,Expected medically managed,Low,Standard
F94.0,Elective mutism,Other chronic medical conditions,Expected medically managed,Low,Standard
F94.1,Reactive attachment disorder of childhood,Other chronic medical conditions,Expected medically managed,Low,Standard
F94.2,Disinhibited attachment disorder of childhood,Other chronic medical conditions,Expected medically managed,Low,Standard
